name,iso3,year,percent,residence,indicator,pop,region,income_id
French Polynesia,PYF,2000,NA,national,Safely managed,240680.9997558594,East Asia & Pacific,HIC
French Polynesia,PYF,2010,NA,national,Safely managed,266449.0051269531,East Asia & Pacific,HIC
French Polynesia,PYF,2020,NA,national,Safely managed,280903.9916992188,East Asia & Pacific,HIC
Gabon,GAB,2000,NA,national,Safely managed,1228359.008789063,Sub-Saharan Africa,UMC
Gabon,GAB,2010,NA,national,Safely managed,1624145.99609375,Sub-Saharan Africa,UMC
Gabon,GAB,2020,NA,national,Safely managed,2225728.02734375,Sub-Saharan Africa,UMC
Gambia,GMB,2000,43.21158262082293,national,Safely managed,1317708.0078125,Sub-Saharan Africa,LIC
Gambia,GMB,2010,34.88985407680504,national,Safely managed,1793198.974609375,Sub-Saharan Africa,LIC
Gambia,GMB,2020,28.96715938159637,national,Safely managed,2416664.0625,Sub-Saharan Africa,LIC
Georgia,GEO,2000,47.90429213899754,national,Safely managed,4362184.08203125,Europe & Central Asia,UMC
Georgia,GEO,2010,40.85714085014971,national,Safely managed,4099096.19140625,Europe & Central Asia,UMC
Georgia,GEO,2020,34.41872720359513,national,Safely managed,3989175.048828125,Europe & Central Asia,UMC
Germany,DEU,2000,95.79906422740804,national,Safely managed,81400882.8125,Europe & Central Asia,HIC
Germany,DEU,2010,96.47614557431528,national,Safely managed,80827000,Europe & Central Asia,HIC
Germany,DEU,2020,97.12541087005127,national,Safely managed,83783945.3125,Europe & Central Asia,HIC
Ghana,GHA,2000,4.36550165340988,national,Safely managed,19278849.609375,Sub-Saharan Africa,LMC
Ghana,GHA,2010,8.638307607930356,national,Safely managed,24779613.28125,Sub-Saharan Africa,LMC
Ghana,GHA,2020,13.32480098412747,national,Safely managed,31072945.3125,Sub-Saharan Africa,LMC
Gibraltar,GIB,2000,NA,national,Safely managed,31080.99937438965,Europe & Central Asia,HIC
Gibraltar,GIB,2010,NA,national,Safely managed,33584.99908447266,Europe & Central Asia,HIC
Gibraltar,GIB,2020,NA,national,Safely managed,33691.00189208984,Europe & Central Asia,HIC
Greece,GRC,2000,77.26847343970029,national,Safely managed,11082102.5390625,Europe & Central Asia,HIC
Greece,GRC,2010,83.83710578767895,national,Safely managed,10887639.6484375,Europe & Central Asia,HIC
Greece,GRC,2020,91.71870528841725,national,Safely managed,10423055.6640625,Europe & Central Asia,HIC
Greenland,GRL,2000,85.91056578336028,national,Safely managed,56176.99813842773,Europe & Central Asia,HIC
Greenland,GRL,2010,87.37089352400322,national,Safely managed,56638.00048828125,Europe & Central Asia,HIC
Greenland,GRL,2020,91.88920703175641,national,Safely managed,56771.99935913086,Europe & Central Asia,HIC
Grenada,GRD,2000,NA,national,Safely managed,102836.9979858398,Latin America & Caribbean,UMC
Grenada,GRD,2010,NA,national,Safely managed,106226.9973754883,Latin America & Caribbean,UMC
Grenada,GRD,2020,NA,national,Safely managed,112518.9971923828,Latin America & Caribbean,UMC
Guadeloupe,GLP,2000,NA,national,Safely managed,422048.0041503906,NA,NA
Guadeloupe,GLP,2010,NA,national,Safely managed,406072.998046875,NA,NA
Guadeloupe,GLP,2020,NA,national,Safely managed,400127.0141601563,NA,NA
Guam,GUM,2000,NA,national,Safely managed,155322.998046875,East Asia & Pacific,HIC
Guam,GUM,2010,NA,national,Safely managed,159438.9953613281,East Asia & Pacific,HIC
Guam,GUM,2020,NA,national,Safely managed,168783.0047607422,East Asia & Pacific,HIC
Guatemala,GTM,2000,NA,national,Safely managed,11650744.140625,Latin America & Caribbean,UMC
Guatemala,GTM,2010,NA,national,Safely managed,14630419.921875,Latin America & Caribbean,UMC
Guatemala,GTM,2020,NA,national,Safely managed,17915566.40625,Latin America & Caribbean,UMC
Guinea,GIN,2000,NA,national,Safely managed,8240735.3515625,Sub-Saharan Africa,LIC
Guinea,GIN,2010,NA,national,Safely managed,10192167.96875,Sub-Saharan Africa,LIC
Guinea,GIN,2020,NA,national,Safely managed,13132791.9921875,Sub-Saharan Africa,LIC
Guinea-Bissau,GNB,2000,3.26292595986489,national,Safely managed,1201305.053710938,Sub-Saharan Africa,LIC
Guinea-Bissau,GNB,2010,7.306968688292396,national,Safely managed,1522603.02734375,Sub-Saharan Africa,LIC
Guinea-Bissau,GNB,2020,12.16331268135814,national,Safely managed,1967998.046875,Sub-Saharan Africa,LIC
Guyana,GUY,2000,NA,national,Safely managed,746718.017578125,Latin America & Caribbean,UMC
Guyana,GUY,2010,NA,national,Safely managed,749429.99267578125,Latin America & Caribbean,UMC
Guyana,GUY,2020,NA,national,Safely managed,786559.02099609375,Latin America & Caribbean,UMC
Haiti,HTI,2000,NA,national,Safely managed,8463801.7578125,Latin America & Caribbean,LMC
Haiti,HTI,2010,NA,national,Safely managed,9949318.359375,Latin America & Caribbean,LMC
Haiti,HTI,2020,NA,national,Safely managed,11402533.203125,Latin America & Caribbean,LMC
Holy See,VAT,2000,NA,national,Safely managed,790.0000214576721,NA,NA
Holy See,VAT,2010,NA,national,Safely managed,782.9999923706055,NA,NA
Holy See,VAT,2020,NA,national,Safely managed,809.0000152587891,NA,NA
Honduras,HND,2000,40.04916505218431,national,Safely managed,6574509.765625,Latin America & Caribbean,LMC
Honduras,HND,2010,45.71609364201461,national,Safely managed,8317466.796875,Latin America & Caribbean,LMC
Honduras,HND,2020,49.67509858271092,national,Safely managed,9904608.3984375,Latin America & Caribbean,LMC
